,BLB,PendapatanbulananpurataisirumahkurangdaripadaPGK,Keadaantempattinggalusangataumulaiburuk,Lebih2ahliisirumahbilik,Menggunakantandasselaindaripadatandaspam,TiadakemudahanKutipanSampah,Semuaahliisirumahsamaadatidakmenggunakanpengangkutanpersendirian,Isirumahtidakmampumenyewadanmemilikirumah,Tidakmemilikitelefontaliantetapatautelefonbimbit,Tidakdapatmengaksesinternet,TidakmendapatkemudahanawamTeknologiICT,Semuaahliisirumahberumur1760tahunmempunyaikurangdaripada11tahunp,Kanakkanakantara616tahunyangtidakbersekolah,Pemeliharaanagama,Pemeliharaanakal,Pemeliharaannyawa,Pemeliharaanketurunan,Pemeliharaanharta,Pengambilanmakanankurangdaripadatiga3kalisehari,Selaindaripadabekalanairterawatdidalamrumahdanpaipairawampaipber,Cluster,Cluster_Name
135,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
136,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Cluster_0
137,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Cluster_0
138,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Cluster_0
139,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
140,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
141,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Cluster_0
142,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
143,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
144,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Cluster_0
145,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
146,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Cluster_0
147,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Cluster_0
148,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
149,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Cluster_0
150,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
151,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,Cluster_1
152,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Cluster_0
153,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,Cluster_0
154,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Cluster_0
155,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,Cluster_0
156,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,Cluster_1
157,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
158,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Cluster_0
159,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
160,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Cluster_0
161,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
162,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
163,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
164,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
165,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Cluster_0
166,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
167,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
168,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
169,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,Cluster_0
170,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
171,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
172,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,Cluster_1
173,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Cluster_0
174,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
175,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
176,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
177,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,Cluster_1
178,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
179,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
180,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
181,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
182,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
183,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
184,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
185,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,Cluster_1
186,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
187,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
188,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
189,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,Cluster_1
190,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,Cluster_0
191,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
192,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Cluster_0
193,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
194,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,Cluster_0
195,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
196,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
197,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
198,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
